incoming,your_reply
I will wear the same dress.,OK bro
"Haha who knows, will wear what I get.","OK bro,  plan if u have a black color dress"
"I don't have it bro, you know my relationship with the sun. So I don't own black.",Haha 😀yes OK bro
Related to kernels?,Yes
It must be related to kernels only then,Yeah yes
"I didn't study anything today, probably will pick from tomorrow.",You went home early?
"Head headache, still have.",Sure 👍
It's my usual business 😅,At what time you will be coming tomorrow?
"Will leave 8 at home, probably reaching at 8:40 or more.",OK bro
Outside metro,National College?
Started?,I will be reaching majestic in 5 mins 😂
Oh,Yeah
Okay come I will wait,OK bro
Ping me when you leave metro,OK bro
I'm near Indira Gandhi canteen,OK bro I am coming
Okay 👍🏻,OK
Are you still in the college?,Left just now bro
Ma'am has told to bring yellow book.,Took one from shreedhar
Will it be available on Monday?,I have asked for me
He has?,Yes
Okay.,Yes they took 5 yesterday
Okay let me put a message to him then.,We can buy remaining on Monday
Okay,Ok
I have put up a message too.,OK bro
"I know, that we got it from an unofficial group. But no message from the main group.",Nothing bro
Cool 👍🏻,Like that they said
Or you meant participation is 2?,"No,  to participate in the event only two members team should be made not more than that"
So shall we both be a team?,Yeah
Only 2 teams can win it.,"Don't know bro,  not yet announced"
"Oh they will announce about it, it would be easy if they do.",Yeah
"Only 2, i have gone to different colleges, every where they used to be winners and runners only.","OK,  let's wait till they announce officially"
Okay.,Don't know bro
Okay.,They said within this month ending
"Oh, then the week after the test. I think. <This message was edited>",Yeah maybe
"I read the c reference book, it really got great stuff. Such topics will come in other languages too. You already have a library card you might consider taking that book. It can help for projects as well as for other programming languages too.",OK bro I will try to take on Monday
anything about it? <This message was edited>,No bro
if you get 4th edition it would be good.,Preparing bro
for C which we need to study? the txt file or or the doc with the name proc.,Which subjects completed?
I was wondering out the reference book,Doc? Send me that
😅,Haha
<Media omitted>,I think this one is good and structured
Oh,I will be going through this
2 modules right?,Yeah
"Oh, really! Okay I will also follow this.",OK bro
Okay got it,"I was stuck in THIS OS bro,  now I have to start math and tomorrow C"
"I haven't checked out it yet, I will help you if possible, on the test day. At what time you will come to college?",9 or 9:30
"Okay, I will try to come at 9. <This message was edited>",OK bro
"Ping me your OS question if you got any, I would prepare for it.",OK bro I will list out and I will send you
"Not just OS if you got any doubts in any subject ping me, I will also if I get. It would be better if we exchange our comprehension skills.",Sure bro
or you reading from the pptx?,I am going through the assignment questions
is it available in the group?,I will send you
Okay,<Media omitted>
C is very much easy and web too. DSA looks difficult to remember different things.,Add scheduling problems to it
Have to check OS now.,OK bro
"I just went through DSA, even though we know the concepts but still there is a high probability that we may get confused between topics, with OS test on same day. It proves it more difficult.",Yeah
program code?,Yeah and similar usage of concepts
Hmm. Need to manage somehow.,Like linked list and circular queue
"I feel it's better we get programs, at least we could trace and correct the program. But theory part we can't do that. We have to explain it correctly; we can't get confused. And also the infix,postfix stuffs can make us confuse.",Yeah yeah
"It is manageable, at least better than theory.",Yes bro
are you having problem with linked list and circular queue?,Yes
"Okay if you don't get it, remember to ask me on test day. I will explain from what I have understood. If you understand it, you can understand the program or you can write your own. <This message was edited>",OK bro I will ask you if I don't get it
Any other doubts?,Nothing as of now
For maths I will prepare for the assignment questions. Which is easy I work on it. Trying to get passing marks.,Even mam said those questions are enough
Okay got it.,OK bro 👍
Who will be sitting around you? You checked? In tests.,Yeah
Probably Varun will be in front of you.,"No bro I have to be in honest in exams, to know my ability. 😂"
A single piece of paper doesn't define my future.,"If I fail also I don't even care about that, it should be my own effort"
"Oh, your mindset is like that. Then nobody can change it 😜",Yeah yeah understood
Failures need to attend extra classes. You know that right?,"It just came in my mind and I just said, I am not very honest and serious on that saying though"
Yeah 😂,Some days before right
Yes.,"Hmm,  but I don't stick to one <This message was edited>"
Life will make you.,Maybe <This message was edited>
Maybe I'm giving too many philosophical lessons 😅,Nothing like that bro
Sure 👍🏻 To my extent.,OK bro
"Planning around something for the project, will tell after the tests.",If you have anything in math ping me
Haha definitely. You know I won't even attend maths classes if you are absent. 😅,Haha 😀
"If not, I will not come early .",Yeah associativity and precedence
Checking.....,I know the problems but theory I have some doubts
Oh okay.,Long before
Maybe 🤔,You studied about this concept
"Haven't fully, but I will go through the paper once now.",OK bro
Okay 👍🏻,OK bro
With functions,String functions
Yes,Yeah she asked to study both
"Okay, will see now.","And searching, sorting?"
Yes.,Nice bro
"No worries, we would have options, we don't need to know everything.",Yeah
😭,I am worrying about DS
Let's see.,OK bro
Help me for maths during the break.,Sure bro
For?,Math and C
Okay.,For detailed solutions
I took for C. Especially for theory part.,OK bro
ok.,Which concepts you have studied more?
spent today only on maths. now going through C questions.,OK bro nice
nothing more or nothing less.,Ok
Bro checked metro prices?,No bro
Mine from 17 -> 30 😑,Oh shit
For one ride?,Yes
Yes 😭,Doubled the price
We need to bleed money,😟😔
Yes,Yeah
I'm coming to majestic in a min.,"Stuck in traffic bro,  will reach college by 9:45 max"
It's okay anyway it's C.,Oh ok
621,OK
Oh for all tests? Same?,Don't know about that
Ok,Okay bro
Got permission from the HOD.,Nice bro
You arrived?,Left market now in bus
Oh 😯,Will reach within 10 mins
Okay 👍🏻,OK bro
do you know?,Abstract data type
if asked what I supposed to write for it?,That shows what need to be done but hiding how it should be done
"Okay, I will check it.",She explained in starting
Okay.,"No programming example given,  just one real world example"
Okay.,OK bro
starting now!,OK bro
OS I will see tomorrow.,OK bro
Which one are you using for tests?,What bro?
I meant which pen?,Black
"Yes, he told for us too. But I wrote in blue.",Nothing will happen
Have to use black today,OK
I still need to have my food.,OK bro
"I will late only, DSA took my entire morning",Prepared linked list
Only single linked list program That's all,OK
"I will leave linked list, we haven't practiced much on linked list, so i thought it's better to understand what I know, then trying to understand all and making it confusing.",Yeah
I think we can manage with options,Yeah even I am too thinking like that
🤣,Got some glimpse
Have to read this afternoon. Couldn't read yesterday,Have to revise in the Brea
DSA took too much of time,Yeah even me too
Reached college?,Nope bro
Ok,Hi bro
Im still in home,No bro just asked
Fibonacci?,Ok bro
"Even if they give, they will give small programs",Object creation and like the data object
Is that in the assignment questions?,Yeah date object is there
Did I read the wrong questions then?,<Media omitted>
Right?,Yeah
Then why PPT?,Just I saw some reference
Oh okay,OK bro
I haven't read anything from the ppt,OK everything is covered in assignment itself
"A lot of folks didn't get time to work on Javascript in the lab, so I don't think they will ask more from javascript",Yeah correct
.,Hi bro
Why?,Tomorrow we have lab do
Oh,"So,  should we have to write and go"
Did ma'am mention it? Checking tomorrow?,OK
Okay,OK bro
"Haven't worked on the project today, slept through the afternoon.","Some of our lab mates are writing now,  so I have to"
Haha 😆,Ha
Shall I register?,Yeah bro
It's turbo C. So if I find any issue I hope you know how to work around the editor. <This message was edited>,Yeah
Veenit - is that right?,Any rules in team
It's given above the pic.,Veenith Kumar S
See.,OK
Your details,Yes bro
Okay.,How much is the registration fee bro?
100,OK I will send mine
<Media omitted>,OK bro
They kept too hard.,My share is 100 right?
That's right.,"Yeah mcqs, debugging, writing code"
"Yeah, I never saw this much in a competition.",Its OK let's give our best
MCQ will be based on C only right?,Yeah
Don't forget they are offering a 1 month internship. We have to win 1st for sure.,Everything will be of programming
Great.,Yeah yes
If you get any more information regarding it share it with me.,OK bro
For finals only 5 teams get selected.,"Yeah that will be competitive yet, but we can"
And points depend on 6 test cases. So our code should be perfect.,Oh OK
Yes we can.,Yeah ✌
Okay got it,👍
Tell me if you have any,Like development
5 mins,Ok
It will be interesting.,Yes
"Also I think web based might be difficult for people right now. As till now web technologies are done very less. Don't you think so? Even I know only html and css, haven't worked on javascript. And probably forgot the backend thing.",Yes even I am thinking that
I think web development won't be feasible for all. As it requires multiple technologies to get prepared.,Individual creativity matters there right in designing a page whether they may use React js or any frameworks or simple html  cs see
I got that.,Yeah but many people have done projects on that in BCA
Related to techs.,Yeah let's do this after first sem
I'm searching for other events held by other colleges,OK I
"Tell me, I'm interested in.",Ok
<Media omitted>,What I meant is the money we get from participants from an event
I didn't get it.,"Cash prize is within 5 or 10k,  but collection goes too faarrrr"
College would take that.,Oh really
I mean we are technically using their place and people for competition 😅 So I don't think we get that money.,"Event organizers will take that right,  because they have put all their efforts and they take permission from college and they would give some amount for college"
I felt like this. 😅 But i really don't know how things works.,"We can give some amount or kind of share to the college for the place,  people"
Never thought about these things 😅,"This is some foolishness from me,  let's get ready for the event"
It would be good at the end of the day 😊,"No no I am thinking like that now,  why am I getting some unwanted useless ideas 😂"
"Everyone organizes events, but ours should be different and people should talk about it 😅",Yeah bro I will think
😂,😂😂 that's a great idea
Ma'am was absent last week and no classes this week. So don't know what we should do tomorrow.,Don't know bro
Okay I will see what they will say tomorrow.,You have to do next Labset I think
Okay then.,OK bro
Feeling a bit down.,OK bro
Anything important?,Nothing bro. DSA 3rd module started and maths some concepts done and
"Yes, why?",Javascript
And other subject marks they told?,Coz of exams
Oh,"I will be coming,  attendance is low already"
I need to check mine,Oh what happened?
Oh,Like fever or body ache
Headache,OK bro take care
Sure 😊,Ok
😔,Oh shit I didn't even checked
I was checking for our project,Ok
Still a lot of work is due,Oh
And not much time left,Actually C ma'am also asked to do a mini project
Group?,And a team of 3 is allowed
That's great,Yeah
So you thought anything?,Yeah let's search for  a guy
I love projects 😅,"Actually Varun, Yogesh,  Vinay were planning to make a team"
"Okay, what about the topic?",Haha
"It's alright, even if we don't find anyone I think only both of us are sufficient. We can pull that off.",Anything related to C
Yep 😊,Yeah let's do
I will search for it today then.,It seemed more interesting when you actually explained
Okay.,OK bro Even I will also search
Sure.,OK bro
"Yeah. But we can ask if anyone is interested in the project. If not, then only we can do it. Cause you know ""The more the merrier."" <This message was edited>",Merrier?
"I believe once we finish DSA, we would gain a lot of knowledge. So it will be easier to do for the next project.",Yeah OK bro
Merrier as in merry Christmas - means Happy,Oh nice
3 can do a lot that's why I said.,Yeah got it.
Either way we should be able to do it.,Yeah
Let me research about it then.,OK bro I will also put my hands in
"We are doing project, right? then Why seminar?",Bro she said in the beginning of the course right
😫,No for web seminar is compulsory it seens
I will tell ma'am.,Don't know
"I will ask first whether Project is enough or not. If not, I will tell her I won't do it.",OK bro
Okay.,Ok
We have to meet DSA ma'am tomorrow?,Yes let's give her our names
Ok,At what time you will be coming to college bro
Anything is there?,Let's discuss more about socket programming so that we can understand better
Tell me the time,"Bro I left near baiyappanahalli now, I don't know the exact time because there maybe traffic"
Now? But classes start at 1:30,Who said? 😂
Time table? It's there,"No placement training today , only classes from 11 to 1"
I woke up now,Yesterday HOD shared the PDF also
You didn't mention the time 🥺,In group
I didn't check anything,I thought you would have checked the group
I didn't even know about it moving,"Oh!,  it's OK you still have time"
Will see,OK bro
Room no 618 or changed?,For last 2 classes we say in 621
"Oh, okay.",Ok
You reached?,Yeah entering now
I'm at the lift,OK come to 6th floor
Coming,Everybody is waiting outside
Classroom is closed?,Come back
To?,Near the lift
What to do for the 3rd member of the C project?,Yes bro
"By completing the chat application We would already have the knowledge of file i/o operations, socket programming. Which will help us in p2p but others won't have. So we will get a beginner only, we can use the 3rd person for testing purposes.",Yeah that's right
If interested then we can help with the coding part also.,"Yeah , let's give a try"
That's how a project is done in companies also.,Yes
And we won't be using node.js for our C project.,Yeah that's a better idea
"Although we 2 are enough, but it's better we learn to work with others also. More collaboration = more ideas.",Oh yes we won't be using node js in p2p
Will you ask Shashank?,Yeah
You have his number?,No bro
😅,"OK anyways, we will be completing chat application on Monday right then we can reach him out and ask him"
"Chat will be done tomorrow, on Sunday only testing. While starting P2P.",Haha yes
"I want things to go faster. So, that we can do more",Ok
I will probably start with coding. Once you complete understanding topics you can hop in.,I will ask Varun if he has Shashank number
Okay.,OK sure
"I got one from the group, but I'm not sure if there is another Shashank is the class.",Yeah two Shashanks are there
Which one is the other?,Wait I got his number
Thank God.,I will text him
Do.,Shashank BIT.vcf (file attached)
Inform if anything he says,OK
Okay,"What is a P2P Project? P2P (Peer-to-Peer) Project: In a P2P project, every participating node (or peer) in the network functions both as a client and a server, allowing for direct sharing of resources without the need for a central server. Each peer in the network can initiate or complete tasks and communicate directly with other peers.  Goals of a P2P Blockchain Project:  Decentralized Ledger: Maintain a distributed ledger where all peers have a copy of the blockchain.  Security and Integrity: Ensure data integrity and security using cryptographic techniques.  Consensus Mechanism: Implement a mechanism for peers to agree on the state of the blockchain.  Scalability: Handle increasing numbers of peers and transactions.  Steps and C Concepts Needed Step 1: Understand Blockchain Basics Blockchain Concepts: Study blocks, chains, transactions, and consensus mechanisms.  Cryptography: Learn about hashing (SHA-256) and digital signatures.  Step 2: Set Up Development Environment Install Tools: Set up a C compiler (GCC), text editor (VS Code), and version control (Git).  Libraries: Install libraries like OpenSSL for cryptographic functions.  Step 3: Define Block Structure Structs in C:  c typedef struct Block { int index; char previousHash[64]; char timestamp[64]; char data[256]; char hash[64]; } Block; Step 4: Implement Hashing Hashing with OpenSSL:  c #include <openssl/sha.h>  void calculateHash(Block *block, char outputBuffer[64]) { SHA256_CTX sha256; SHA256_Init(&sha256); SHA256_Update(&sha256, block, sizeof(Block)); SHA256_Final((unsigned char *)outputBuffer, &sha256); } Step 5: Create Blockchain Structure Linked List of Blocks:  c typedef struct Blockchain { Block *head; Block *tail; int size; } Blockchain;  void initializeBlockchain(Blockchain *blockchain) { blockchain->head = NULL; blockchain->tail = NULL; blockchain->size = 0; } Step 6: Add Blocks to Blockchain Add Block Function:  c void addBlock(Blockchain *blockchain, Block *newBlock) { if (blockchain->head == NULL) { blockchain->head = newBlock; blockchain->tail = newBlock; } else { blockchain->tail->next = newBlock; blockchain->tail = newBlock; } blockchain->size++; } Step 7: Implement P2P Communication Network Programming (Sockets):  c #include <sys/socket.h> #include <arpa/inet.h> Step 8: Develop P2P Protocol Message Passing: Define protocol for sharing blocks.  Broadcasting Transactions: Ensure peers can broadcast and validate transactions.  Step 9: Implement Consensus Mechanism Proof of Work (PoW):  c int proofOfWork(Block *block) { int nonce = 0; while (!isValidHash(block->hash)) { block->nonce = nonce++; calculateHash(block, block->hash); } return nonce; } Step 10: Testing and Debugging Unit Testing: Write tests for each function.  Debugging Tools: Use gdb or similar tools.  Step 11: Document and Deploy Documentation: Explain how to set up, run, and use the project.  Deployment: Deploy on multiple nodes for testing.  C Concepts You Need to Learn Data Structures: Structs, linked lists.  Memory Management: Dynamic memory allocation and deallocation.  Pointers: Working with pointers and pointer arithmetic.  Network Programming: Sockets, TCP/IP communication.  Cryptography: Using libraries like OpenSSL for hashing and encryption.  Debugging and Testing: Writing test cases and debugging code.  This should give you a clear and structured plan to develop your P2P blockchain project using C. Let me know if you need more details on any specific step! 😊"
Don't share this,Sorry I have tried to send myself so I can pin in messaged
To him.,No nk
Okay 👍🏻,"OK bro double tick is there,  if he responds I will inform you."
Gn,Bro Shashank will join i
What's next?,OK he is online
"You said, we are going to use only C?",Message him once
Great,Nope just messaged him about the description
"Okay, let me say.",OK
Shall I add him to our project group?,Yeah bro do
I'm not good with people so tell me 😅,It will be convenient for us
Okay,OK
I said from Sunday we are starting.,OK bro nice then let's go
Yeah <This message was edited>,🙌
It's weird but true.,"Haha very nice bro,  this is inversely benefiting you."
"I cross verified with geeks for geeks website, chatgpt actually took from that website only.",OK bro any specific changes have you made for better understanding?
I learnt from both.,"OK bro,"
Nothing as of now. I understood line by line what they have given. And coded the exact thing. So no changes as of now.,How you felt with the code?
You can follow the steps I did. Ask chatgpt to explain that program part by part.,OK
"The struct variables and normal variables declared might make you confused and would look complex. It happened to me also, but once I understood, it's not that complex. <This message was edited>",OK Nirmal?
"If you still don't get it, I will explain on Monday.",OK bro
Done.,But I will try my best
Okay,Ok
Message (queue) + file i/o - socket programming = our project. That's all.,"Anyway we worked on queues,  file"
Yes,And I need to learn socket programming completely
Focus on file operations too. It is much bigger than socket programming.,By evening
this is the code I have done.,OK bro I got a good idea on the code.
Are you coming for this?,Like understood the working of code and how it is connecting
I thought you got some idea for the project 😅,"No bro,  actually tomorrow we have to go hosur to get our bike ready"
It's good for us to go. But it's paid - 😬,Haha 😂 But I will give an unique idea wait
okay.,Oh OK
"It's okay, I'm not going too.",OK bro
did you understand my note?  Note for me - Hashing each chunk of data for security purposes.,Adding more security to the user data and their info right!
"I want ideas like this. Otherwise, I'm concerned that only I will get benefits from the project. I want you to think ideas to implement in our project. I'm saying for your own concern. I genuinely want you to learn and get benefits from it.",Hmm I understand
good,You explained this concept in class I think
and this how our project works.,Yeah OK
You can use chatgpt for ideas for our project.,Ok
Yes!,OK bro
"But that's the problem, I don't know how to handle those. I'm good at working alone. So don't know how to divide.","No worries, we can make it and we can divide.  Let's discuss about the project on Monday and we can make it"
You take the initiative.,OK I  will take care of that
ask me for any help then,OK bro
"Actually, I didn't get it. Can you please specify what you meant by peer? <This message was edited>",I am considering a peer  as an user
a user should not the ability to know those details. call?,OK bro
our main.c going to be reduced.,OK
It won't. We are moving those code into client and server codes. We will call functions from the main.c,Yeah that's better
You got it?,Yes bro
Okay.,"If client want to perform certain operations like login or need to send a message, then we are calling functions"
yes from main.c to client.c Now client will handle those functions. <This message was edited>,Yeah got it
server will receive those and store in the server.,Yeah got it
it's getting more complex,Code
main.c is updated. You can test.,OK bro
"Not yet integrated, as of now!",OK
"Once integrated, you can start validations on the project.",OK I will do this
"It's better I only do it, I have come this far. It would be difficult for you go through everything again and start coding.",OK
sure.,OK
It's optional for the project (chat). like notification for the receiver that he has a new message received.,OK we are implementing that in p2p
in chat. P2P has no use to it. P2P is not user to user.,"OK,  you have posted it in main project right so I thought like that"
haha still group is for chat also.,If an peer requests to download a file from the server then it will show that the file is downloaded
"in p2p what is peer In a Peer-to-Peer (P2P) network, a peer is a computer system or node that both consumes and provides resources. Essentially, each peer in a P2P network is both a client and a server. Here's a concise breakdown of what it means to be a peer in this context:  Resource Sharing: Peers share resources such as files, processing power, or network bandwidth.  Decentralization: There is no centralized server in a P2P network. Instead, all peers are equally privileged and directly interact with each other.  Network Efficiency: The network becomes more robust and efficient as more peers join, distributing the load and making the network more resilient.","OK I understood that,  I am thinking a peer as a user in my understanding"
no! NO! peer is just a server. It will respond to user's requests that's all.,OK I will go through
There are 3 parts in both of our projects - User Client Server  Here are client and server are considered as Peers,Bro I am stuck somewhere I don't know 😂. I will understand clearly and I will talk to you about this.
"haha it's okay. If you don't understand in messaging, you can call me. Before diving into the project, it's better both of you should know what our project does. <This message was edited>",OK sure
"I will tomorrow. If he doesn't get I will on Monday. But for you if you don't get it, I will do in call tomorrow. Because you already know certain things in C. So, stay ahead.",OK sure
<Media omitted>,I think this will be interesting and director also directed only one film before this like 7-8years back and that's a hit.
🤐,"😂 haha OK bro,  I thought you were asking about the movie"
You gotta observe things 😉,Hmm yes I need to
Explain me with a scenario for better understanding!,"OK,  when a Peer A sends or uploads a file or info to another Peer B then  it can keep account of which file it have been sent to the respected Peer B"
"There are 4 peers. One peer has a file the other 3 don't. From the other, one of them requests for a file from the peer 1. And the peer responds to it (doesn't send or upload, it is purely based on web sockets. One request, the other responds). Now peer 2 also has the file.  Now you are saying that peer 1 should have information of the sent files. But the thing is peer 1 will already have that file in its storage.","Like in UPI apps,  peer A(user 1) can keep an account of how much money he sent and that wouldn't be visible to no one other than peer A"
"There is a first server which will have files, which are uploaded by a user into it. In the same server there will be tracker lists. Which will have the address of other peers. (We are doing basic for now) Now other peer requests for a file connecting to the server. As the tracker has the address of that peer it accepts the connection and provides the files if it has it. After transfer - both servers have the same file now.","OK understood,  but peer A can have all the files,  it may have sent to peer B and peer C.  But in peer A we can keep an account that I have sent 2 files to peer B and 2 to peer C"
Call?,"I think I have tried to explain this,  that transfers can be recorded"
Yes correct 💯,OK bro
For?,Like any course
Oh. How much?,OK I just got an ad and I checked udemy
But discounted can fetch up to 259.,499 rs course is now 3999
Haha it keeps changing. Anyway using Udemy is not worth it anymore. YouTube + AI is enough.,Yes yes I got an insta ad and I just saw the price
Okay,OK
just for reference - chat application,OK bro
I'm taking a break from it.,Really?
"As we didn't know how our project works with the network, we have designed in a way we understood.",Oh
This is the procedure.,Yeah
I'm thinking about how to re-code again. What is the best way?,OK going through it
Instead of saving in local (way easy) we have to send and receive data from main->client<->server So it's going to require changes in our code.  For now only local chat will work.,What this client.h does?
"If you don't get it, I will explain tomorrow.",Yeah got it
"It's affected me, thinking we have to re-code again. That's why I stopped coding. Will do it again.",Take break bro
Maybe we should divide it.,Yeah Spent today on understanding socket programming
Okay,Yeah
"It will cook you too, if you do it alone 😭",😂😂 Haha
That's why I thought and wrote what file should contain what functions.,How will you connect one . C file to another .C file
We have to use the .h file. To call for functions from other .c prog.,Server and client will be connected through port no it will be connected
Correct,OK bro
I have a clear idea of what we should do. But the pain is in coding again. 🥺,Yeah the difficult part
Yeah.,OK bro
We already have 2 other projects waiting to be completed. So let's focus on that.,Ok
It's a library existing in Linux. I think it's for connections.,Yeah for windows it's different
You may install an extension for that.,Yes
What are you doing for that?,"In vscode,  launch json file is there"
Oh god you have to make a lot of changes for that.,Need to configure
#include <winsock2.h> #include <ws2tcpip.h>  // For inet_pton and inet_ntop,Tried already
"Oh, it's still not working?",Nope
Windows is such a pain in the ass 😡 Thank God i left that 🙏🏻,😂😂 I am suffering
For a programmer time is essential. And windows take up a lot of in setting up. But Linux comes with a lot of pre-installed services required for programmers.,Ok
No wonder they both were designed depending on specific users.,Oh really that's nice bro
Yes worked 👍🏻,Yeah bro I have to I think
"To show our project in college, we have to use a fedora machine to run. I don't think turbo can handle our projects.",Not even connected bro
Got it,Yeah turbo can't
Saw this?,😂ha saw now
That's why companies don't use windows when coding is involved. As well as for servers. Windows was always designed in keeping with normal users.,Yeah that's correct
"You can't use the system when it's auto updating, not the case with Linux. You can easily work while it's updating (after you give the permission). And it's so fast in updating too.","Really nice bro, more benefits in linux"
You have no idea how good Linux is. You need to experience that. But it depends on whether you are interested in installing and maintaining Linux machines.,"I have to bro,  but I don't know how to use it"
"Man, you have me with you and you are saying you don't know. I have been a Linux user for 5 years.","Ha yes 😀 , you are there,  need to learn from you for Linux"
Fedora is a flavour of Linux. Means fedora is designed using Linux. So using fedora means using Linux. An interesting fact is the person who made Linux actually uses fedora as his primary OS.,Oh really nice
"It's feasible for companies. First is they know you know technical stuff Second is Linux is freaking free, so companies don't have to buy windows for you 😄",OK bro then I will definitely do. I will have to switch to Linux
Who knows if I get my desired package I don't need to go off campus.,That's nice
The next 4-5 months are going to be hard.,Yeah really hard
Your hard work during these months will give better results in the future.,Yeah that's correct 💯
You completed the record? Any one?,The next labset programs bro
Oh,Yeah C record we wrote till searching and sorting
DSA or web,DSA we wrote first 3
Can you bring the DSA record tomorrow?,OK
"For C I can manage with the ma'am, but DSA ma'am 🤐",Haha ok
It's confirmed 3 members right?,OK bro
Ok then,OK bro
Are you there?,Yes bro
Better voice quality,OK bro
https://youtu.be/zpwj-Um1nbI?si=3Q-FwFfGNBxndBZ_  The show which I told you about. Silicon valley He is talking about decentralised internet.,"Yeah If you have sent this video 2 days before, I would have understood this concept on that day itself. Very informative"
Thought it's not our project 😔,Oh OK
"We can try that too, while explaining to Varun about possibilities in the C project. I thought of this too, but it would be hard to make him understand, so I didn't bring this up.",But the concept he is explaining looks bit similar to our project
"It's a decentralised network, means any authority or government cannot control it. These kinds of projects exist in the west, but not in a country like India. So we can try this too.",Oh OK nice
"Yes because it's decentralised. The usage is different but the core concept is decentralised i.e., P2P.",Yeah yeah
They have mentioned this.,Oh OK Call this number bro 7339722954
Whose number?,Yeah I had the same doubt
Name?,Separate numbers are there for each event
"Yeah I tried for coding, but they are not responding.",Okayyy
Okay.,"Call this guy,  he may know I think"
We can't it seems 😞,Oh nice
Let's win the web then.,Oh shit
Sure.,Haha yes
I will leave home early as we have to go through the hebbal. I will call you then.,OK bro
"Watch this show if you get time, you will learn a lot of stuff like these.",OK bro I will
I'm thinking at 11:00 as we need instructions from the college and also have to find the place.,OK
Yes.,OK I will send the amount then
<Media omitted>,Where is the link?
The qr code one.,Bro sent
"Go through it, click on enroll now. Then you will get the payment link.",OK bro
"I can also help type, but I think it's better you type as you know about it. And also the editor.",Bro if possible have a look at flex and grid
I need to tell you about the competition.,OK bro
https://chat.whatsapp.com/ExoetEqtNxPH9eRNxj1qcD,Bro at what time you are leaving
I will leave in 15 mins.,OK bro
Bus at 8:48,OK
"Oh, okay. Anyone else coming?",No I think
Only 4 per college allowed.,Bro if possible can you bring keyboard
"Mine is old and doesn't work well, similar to college. Buttons are stuck. I'm yet to buy a new one.",OK bro
"Yes, it's common for all college completions. They don't want the same college to win everything.","OK,  I think nobody will come except us"
At what time you will reach?,I will be reaching tin factoty in 15 mins
Okay,OK bro
We can't say tomorrow?,Nothing
Then I will tell tomorrow only,Because they will put absent for today and will they change tomorrow or not?
They will,Anyway inform
Otherwise i will inform later,OK
Left bus,Stop name?
Nagenahalli gate,OK bro
You?,Reaching hebbal in 5 mins
Ok,OK bro
I'm inside the auditorium.,OK bro
Not many members have come here.,Okay bro
Nagenahalli gate,OK
This one only,Walking distance?
500m,OK
But some are wearing,OK
Just show them the receipt if they ask.,Will they give extra?
Yes.,Ok
"You have that id given my college right, that yellow paper 😅 show that.",OK. Will they ask
Right? <This message was edited>,Ol
Where are you now?,Entered college
Ask anyone there.,OK bro
Okay.,OK bro
If not I'm filling it.,No bro
I have filled it,OK bro Should I also have to fill it ?
No need as they took teammate name also. I have entered your name also.,OK bro
"Ma'am has sent DSA programs in the group, are those for today's lab? Did Varun mention anything about it?",Yeah quick sort
Okk.,OK bro
And merge,OK I don't have idea about that
I got it from Varun 👍🏻,Haha yes
Explaining things and writing algorithms like that.,Need to explain the tags in the description part
Can you show me?,"Yeah,  any 5-6 tags enough"
With the index too.,<Media omitted>
Ok got it 👍🏻,OK bro
I gave your DSA record right?,Have you wrote DS test in new yellow book or the old one?
"Old only, ma'am gave us.",Preparing bro
😅,Yeah worrying about it
We have to meet her fast.,Yeah
Ok,👍
There were tests so we couldn't. No time.,Oh linked list alone took 2hrs
It did.,OK bro
No I didn't,OK bro
Like varun had to do with his project.,Nope
Instead of single '\' use double '\\' in your code.,Used for setting up C in my laptop
"No, I meant inside the code.",Oh OK... Will this work if we use \\
Yes.,OK bro
Ok I'm going off.,Bye 👋
Which one?,In Varun's project
"I just told him the error now, i checked now only with chatgpt.",OK
"This one -   <!DOCTYPE html> <html lang=""en""> <head> <meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""> <title>Paragraph Stacking Example</title> <style> body { font-family: Arial, sans-serif; text-align: center; margin: 50px; } .container { width: 300px; position: relative; margin: auto; } .para { position: absolute; width: 100%; padding: 10px; background-color: lightblue; border: 1px solid #000; transition: all 0.5s ease; } .para:nth-child(1) { top: 0; z-index: 1; } .para:nth-child(2) { top: 30px; z-index: 2; } .para:nth-child(3) { top: 60px; z-index: 3; } </style> </head> <body>  <h2>Hover Over Paragraphs</h2> <div class=""container""> <p class=""para"" id=""para1"" onmouseover=""bringToTop(1)"" onmouseout=""restorePosition(1)"">This is paragraph 1.</p> <p class=""para"" id=""para2"" onmouseover=""bringToTop(2)"" onmouseout=""restorePosition(2)"">This is paragraph 2.</p> <p class=""para"" id=""para3"" onmouseover=""bringToTop(3)"" onmouseout=""restorePosition(3)"">This is paragraph 3.</p> </div>  <script> let originalZIndex = {};  function bringToTop(id) { let para = document.getElementById('para' + id); originalZIndex[id] = para.style.zIndex; para.style.zIndex = 10; // Bring it to top }  function restorePosition(id) { let para = document.getElementById('para' + id); para.style.zIndex = originalZIndex[id]; // Restore original position } </script>  </body> </html>",Oh this is lengthy
Ok,<Media omitted>
That's all,Yeah
"Oh, then you have written already in record? You have attended all web labs right?","Yeah,  but we haven't executed 3rd prgm"
Ok.,OK
It will take one or 2 days they are saying 🤦🏻 For a soft copy,😔
Yes i directly messaged in the group.,I did on the first day itself
I kept checking but nothing so messaged them last night.,OK bro
